Molecule ChEMBL ID,Smiles,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Standard Value,pIC50,pChEMBL Value,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value
CHEMBL264818,COc1ccc(S(=O)(=O)N(C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@@H]2COC3OCCC32)OC2CCCC2)cc1,,,590.7,1,3.02,6,8.22184875,8.22,UO_0000065,,,,,0,Inhibitory concentration for antiviral inhibition against HIV-1 in MT-4 cell culture,F,BAO_0000219,cell-based format,Human immunodeficiency virus 1,,,MT4,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1142752,1,Scientific Literature,Bioorg Med Chem Lett,2005,CHEMBL3308375,,,
CHEMBL265026,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)c1cnccn1)[C@H]1CCOC1,,,634.82,1,2.5,2.83,8.548213564,8.55,UO_0000065,13.47,0.25,6.05,5.86,0,Tested for inhibitory concentration against HIV-1 protease,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1126759,1,Scientific Literature,J Med Chem,1993,,,,
CHEMBL265095,CC(=O)Nc1cc(C(C)(C)C)c(SC2=C(O)OC(CCc3ccc(O)cc3)(C(C)C)CC2=O)cc1C,,,511.68,2,6.79,3.4,8.468521083,8.47,UO_0000065,16.55,0.32,1.68,8.83,0,In vitro binding affinity against HIV protease at pH 6.2.,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1132164,1,Scientific Literature,Bioorg Med Chem Lett,1999,,,,
CHEMBL265333,Cc1cccc(C)c1COC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN1CC[C@@H](OCc2ccncc2)C[C@H]1C(=O)NC(C)(C)C,,,616.8,1,4.86,420,6.37675071,6.38,UO_0000065,10.34,0.19,1.52,5.64,0,In vitro inhibition of HIV-1.,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1132975,1,Scientific Literature,J Med Chem,2000,,,,
CHEMBL265514,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C/C=C/c1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,,,570.73,2,5.37,0.2291,9.639974911,9.64,UO_0000065,16.89,0.31,4.27,8.94,1,Inhibitory activity against HIV-1 protease.,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1131491,1,Scientific Literature,J Med Chem,1998,,,,
CHEMBL265516,Cc1ccc(C[C@H](C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)C(=O)N[C@H]2c3ccccc3C[C@H]2O)cc1,,,558.72,1,4.82,0.2884,9.540004744,9.54,UO_0000065,17.07,0.32,4.72,8.84,1,Inhibitory activity against HIV-1 protease.,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1131491,1,Scientific Literature,J Med Chem,1998,,,,
CHEMBL265548,CC(C)[C@@H]1[C@H](OC(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN2CCN(C3CCCCCC3)C[C@H]2C(=O)NC(C)(C)C)CCS1(=O)=O,,,648.91,1,3.52,91.4,7.039053804,7.04,UO_0000065,10.85,0.21,3.52,5.49,0,Tested in vitro for the ability to inhibit HIV-1 protease,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1150509,1,Scientific Literature,Bioorg Med Chem Lett,1995,,,,
CHEMBL265588,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN(CC(C)C)S(=O)(=O)c1ccc(N)cc1,,,553.73,1,3.7,2.6,8.585026652,8.59,UO_0000065,15.5,0.3,4.89,7.04,0,In vitro inhibition of HIV-1.,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1132975,1,Scientific Literature,J Med Chem,2000,,,,
CHEMBL265975,Cc1cc(SC2=C(O)OC(CCc3cscc3C)(C(C)C)CC2=O)c(C(C)(C)C)cc1CO,,,488.72,1,6.99,0.41,9.387216143,9.39,UO_0000065,19.21,0.39,2.4,14.06,0,HIV-1 protease inhibition.,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1134529,1,Scientific Literature,J Med Chem,2001,,,,
CHEMBL266398,COc1ccc(S(=O)(=O)C[C@H](NS(C)(=O)=O)C(=O)N[C@@H](Cc2ccccc2)[C@H](O)Cc2ccccc2C(=O)NC(C)(C)C)cc1,,,659.83,1,2.25,2.4,8.619788758,8.62,UO_0000065,13.06,0.26,6.37,5.13,0,Inhibitory activity against HIV-1 protease,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1129303,1,Scientific Literature,J Med Chem,1996,,,,
CHEMBL266620,CCC(=O)N[C@@H](CC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)Cc1ccccc1C(=O)NC(C)(C)C,,,601.74,1,3.87,73,7.13667714,7.14,UO_0000065,11.86,0.22,3.27,5.33,0,Inhibitory activity against HIV-1 protease,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1129303,1,Scientific Literature,J Med Chem,1996,,,,
CHEMBL267092,CC(C)(C)NC(=O)c1ccccc1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CS(=O)(=O)c1ccccc1)NS(C)(=O)=O,,,629.8,1,2.24,5.7,8.244125144,8.24,UO_0000065,13.09,0.26,6,5.19,0,Inhibitory activity against HIV-1 protease,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1129303,1,Scientific Literature,J Med Chem,1996,,,,
CHEMBL267447,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)O[C@H](C)[C@@H](C)[C@@H]3O,(+)-CALANOLIDE A,,370.45,0,4.38,320,6.494850022,6.5,UO_0000065,17.53,0.33,2.11,9.43,0,Inhibitory activity against RNA-dependent DNA polymerase (RDDP) of HIV-1 RT Nucleic Acid polymerase,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1129527,1,Scientific Literature,J Med Chem,1996,,,,
CHEMBL267553,Cc1ccccc1COC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN1CC[C@@H](OCc2ccncc2)C[C@H]1C(=O)NC(C)(C)C,,,602.78,1,4.55,210,6.677780705,6.68,UO_0000065,11.08,0.21,2.13,5.91,0,In vitro inhibition of HIV-1.,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1132975,1,Scientific Literature,J Med Chem,2000,,,,
CHEMBL267571,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN1CC[C@@H](Sc2ccncc2)C[C@H]1C(=O)NC(C)(C)C,,,618.84,1,4.71,1.6,8.795880017,8.8,UO_0000065,14.21,0.27,4.09,8.47,0,In vitro inhibition of HIV-1.,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1132975,1,Scientific Literature,J Med Chem,2000,,,,
CHEMBL267793,CC(C)[C@H](NC(=O)N(C)Cc1cscn1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](NC(=O)N(C)Cc1csc(N)n1)C(C)C,,,822.07,3,3.39,1,9,,UO_0000065,,,,,0,Inhibition of purified recombinant HIV-1 protease in a fluorogenic assay,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1126582,1,Scientific Literature,J Med Chem,1993,,,,
CHEMBL268512,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](CC(=O)c1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,,,572.7,1,4.54,5.37,8.270025714,8.27,UO_0000065,14.44,0.27,3.73,6.62,1,Inhibitory activity against HIV-1 protease.,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1131491,1,Scientific Literature,J Med Chem,1998,,,,
CHEMBL268605,CC(C)(C)NC(=O)c1ccccc1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(=O)OCc1ccccc1)NC(N)=O,,,588.71,1,3.02,51,7.292429824,7.29,UO_0000065,12.39,0.23,4.27,4.56,0,Concentration required for in vitro inhibitory activity against HIV-1 protease,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1127904,1,Scientific Literature,Bioorg Med Chem Lett,1994,,,,
CHEMBL268765,CC(=O)N[C@@H](C[S+]([O-])c1ccc2ccccc2n1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)Cc1ccccc1C(=O)NC(C)(C)C,,,628.8,1,3.71,0.25,9.602059991,9.6,UO_0000065,15.27,0.29,5.89,6.69,0,Inhibitory activity against HIV-1 protease,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1129303,1,Scientific Literature,J Med Chem,1996,,,,
CHEMBL269252,CC1(C)S[C@H]([C@H](NC(=O)Cc2ccccn2)C(=O)NCc2ccc(Cl)cc2Cl)N[C@H]1C(=O)NCCNC(=O)[C@@H]1N[C@@H]([C@H](NC(=O)Cc2ccccn2)C(=O)NCc2ccc(Cl)cc2Cl)SC1(C)C,,,1046.93,,,14,7.853871964,7.85,UO_0000065,7.5,,,,0,Inhibitory activity against HIV-1 Protease,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1126854,1,Scientific Literature,J Med Chem,1993,,,,
CHEMBL269569,COCCOCCO[C@H](NC(=O)C(F)(F)C(=O)C(Cc1ccc(OCc2ccccc2)cc1)NC(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)C)C(C)C,,,755.86,2,5.23,15,7.823908741,,UO_0000065,,,,,0,Inhibitory activity was determined against HIV-1 protease.,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1127883,1,Scientific Literature,Bioorg Med Chem Lett,1994,,,,
CHEMBL269617,CC(C)[C@H](NC(=O)N(C)Cc1ccccn1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](NC(=O)N(C)Cc1nccs1)C(C)C,,,801.03,2,3.75,1,9,,UO_0000065,,,,,0,Inhibition of purified recombinant HIV-1 protease in a fluorogenic assay,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1126582,1,Scientific Literature,J Med Chem,1993,,,,
CHEMBL27120,Cc1ccc(C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(N)=O)NC(=O)c2ccc3ccccc3n2)c(C(=O)NC(C)(C)C)c1,,,623.75,1,3.38,3.4,8.468521083,8.47,UO_0000065,13.58,0.25,5.09,5.18,0,Concentration required for in vitro inhibition of HIV-1 protease,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1151581,1,Scientific Literature,Bioorg Med Chem Lett,1994,,,,
CHEMBL272599,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN1CC[C@@H](OCc2ccncc2)C[C@H]1C(=O)NC(C)(C)C,,,616.8,1,4.13,7,8.15490196,8.15,UO_0000065,13.22,0.25,4.02,7.22,0,In vitro inhibition of HIV-1.,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1132975,1,Scientific Literature,J Med Chem,2000,,,,
CHEMBL273234,COC(=O)c1cc(-c2cc(O)c(Sc3ccccc3C(C)C)c(=O)o2)ccc1O,,,412.46,0,4.78,62,7.207608311,7.21,UO_0000065,17.47,0.34,2.43,7.43,0,Inhibitory activity against purified HIV-1 protease (BH10) at a pH of 4.7 and a final enzyme concentration of 0.45-1.1 nM,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1129760,1,Scientific Literature,Bioorg Med Chem Lett,1996,,,,
CHEMBL273317,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCS(=O)(=O)C1,,,563.76,1,2.67,75,7.124938737,7.12,UO_0000065,12.64,0.25,4.45,5.7,0,Tested against S2-binding site of HIV-1 protease,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1126634,1,Scientific Literature,J Med Chem,1993,,,,
CHEMBL273368,CC(C)(C)NC(=O)c1ccccc1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](C[S+]([O-])c1ccc2ccccc2c1)NS(C)(=O)=O,,,663.86,1,3.72,3.5,8.455931956,8.46,UO_0000065,12.74,0.25,4.74,5.73,0,Inhibitory activity against HIV-1 protease,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1129303,1,Scientific Literature,J Med Chem,1996,,,,
CHEMBL273424,CC(C)(C)NC(=O)c1ccccc1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CS(=O)(=O)Cc1ccccc1)NS(C)(=O)=O,,,643.83,1,2.38,19.4,7.71219827,7.71,UO_0000065,11.98,0.24,5.33,4.86,0,Inhibitory activity against HIV-1 protease,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1129303,1,Scientific Literature,J Med Chem,1996,,,,
CHEMBL273437,CC(C)(C)NC(=O)c1ccccc1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CS(=O)(=O)c1ccccn1)NS(C)(=O)=O,,,630.79,1,1.63,22,7.657577319,7.66,UO_0000065,12.14,0.24,6.03,4.46,0,Inhibitory activity against HIV-1 protease,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1129303,1,Scientific Literature,J Med Chem,1996,,,,
CHEMBL273562,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cccc(O)c1,,,504.63,1,4.62,3.4,8.468521083,8.47,UO_0000065,16.78,0.31,3.85,7.85,0,Inhibitory activity against purified HIV protease,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1128078,1,Scientific Literature,Bioorg Med Chem Lett,1995,,,,
CHEMBL273732,CC(C)c1ccccc1Sc1c(O)cc(-c2ccc(C(N)=O)cc2)oc1=O,,,381.45,0,4.39,135,6.869666232,6.87,UO_0000065,18.01,0.35,2.48,7.34,0,Inhibitory activity against purified HIV-1 protease (BH10) at a pH of 4.7 and a final enzyme concentration of 0.45-1.1 nM,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1129760,1,Scientific Literature,Bioorg Med Chem Lett,1996,,,,
CHEMBL273775,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)[C@]1(O)CCN([C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3C[C@H]2O)C1,,,718.9,1,4.49,220,6.657577319,6.66,UO_0000065,9.26,0.17,2.17,4.75,0,Inhibition of human immunodeficiency virus type 1 (HIV-1) protease,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1127971,1,Scientific Literature,Bioorg Med Chem Lett,1994,,,,
CHEMBL273827,CC(C)(C)NC(=O)c1ccccc1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](C[S+]([O-])c1ccccn1)NS(C)(=O)=O,,,614.79,1,1.97,7.9,8.102372909,8.1,UO_0000065,13.18,0.26,6.13,5.05,0,Inhibitory activity against HIV-1 protease,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1129303,1,Scientific Literature,J Med Chem,1996,,,,
CHEMBL274027,CC(C)c1ccccc1SC1=C(O)OC(CCCC(=O)N2CCN(C(=O)OC(C)(C)C)CC2)(c2ccccc2)CC1=O,,,594.77,2,6.76,124,6.906578315,6.91,UO_0000065,11.61,0.22,0.15,7.17,0,In vitro inhibitory activity against purified HIV-1 protease at a pH of 4.7 and a final enzyme concentration of 0.45-1.1 nM,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1152102,1,Scientific Literature,Bioorg Med Chem Lett,1996,,,,
CHEMBL274046,O=c1cc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)oc(O)c1SCc1ccccc1,,,446.37,1,6.34,630,6.200659451,6.2,UO_0000065,13.89,0.28,-0.14,12.29,0,In vitro inhibitory activity against HIV-1 protease(PR).,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1149949,1,Scientific Literature,Bioorg Med Chem Lett,1996,,,,
CHEMBL274128,Cc1cccc(C)c1OC(C)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN1CC[C@@H](OCc2ccncc2)C[C@H]1C(=O)NC(C)(C)C,,,630.83,1,4.52,20,7.698970004,7.7,UO_0000065,12.2,0.23,3.18,6.81,0,In vitro inhibition of HIV-1.,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1132975,1,Scientific Literature,J Med Chem,2000,,,,
CHEMBL274186,CC(C)(C)NC(=O)c1ccccc1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CS(=O)(=O)c1ccc(Cl)cc1)NS(C)(=O)=O,,,664.25,1,2.89,0.34,9.468521083,9.47,UO_0000065,14.25,0.29,6.58,5.96,0,Inhibitory activity against HIV-1 protease,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1129303,1,Scientific Literature,J Med Chem,1996,,,,
CHEMBL274534,CC(C)(C)OC(=O)CNC(=O)[C@@H](NC(=O)c1ccccc1-c1ccccc1)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NC(=O)c3ccccc3-c3ccccc3)C(=O)NCC(=O)OC(C)(C)C)SC2(C)C)C(C)(C)S1,,,1079.36,,,4.1,8.387216143,8.39,UO_0000065,7.77,,,,0,Inhibitory activity against HIV-1 Protease,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1126854,1,Scientific Literature,J Med Chem,1993,,,,
CHEMBL274569,CC(C)(C)NC(=O)c1ccccc1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CS(=O)(=O)c1ccc(C(F)(F)F)cc1)NS(C)(=O)=O,,,697.8,1,3.26,2,8.698970004,8.7,UO_0000065,12.47,0.25,5.44,5.48,0,Inhibitory activity against HIV-1 protease,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1129303,1,Scientific Literature,J Med Chem,1996,,,,
CHEMBL274912,CC(C)[C@H](NC(=O)[C@H](Cc1cccc2ccccc12)CS(=O)(=O)C(C)(C)C)C(=O)NCP(N)(=O)CNC(=O)[C@@H](NC(=O)[C@H](Cc1cccc2ccccc12)CS(=O)(=O)C(C)(C)C)C(C)C,,,954.21,2,6.1,5.5,8.259637311,8.26,UO_0000065,8.66,0.17,2.16,3.63,0,Inhibitory activity if the compound was determined against HIV protease,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1151027,1,Scientific Literature,Bioorg Med Chem Lett,1994,,,,
CHEMBL275123,CC(C)[C@H](NC(=O)[C@H](Cc1cccc2ccccc12)CS(=O)(=O)C(C)(C)C)C(=O)NCP(=O)(CNC(=O)[C@@H](NC(=O)[C@H](Cc1cccc2ccccc12)CS(=O)(=O)C(C)(C)C)C(C)C)NN,,,969.22,3,5.61,8.5,8.070581074,8.07,UO_0000065,8.33,0.17,2.46,3.37,0,Inhibitory activity if the compound was determined against HIV protease,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1151027,1,Scientific Literature,Bioorg Med Chem Lett,1994,,,,
CHEMBL275161,COP(=O)(CNC(=O)[C@@H](NC(=O)[C@H](Cc1cccc2ccccc12)CS(=O)(=O)C(C)(C)C)C(C)C)CNC(=O)[C@@H](NC(=O)[C@H](Cc1cccc2ccccc12)CS(=O)(=O)C(C)(C)C)C(C)C,,,969.22,2,6.79,950,6.022276395,6.02,UO_0000065,6.21,0.12,-0.77,2.85,0,Inhibitory activity if the compound was determined against HIV protease,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1151027,1,Scientific Literature,Bioorg Med Chem Lett,1994,,,,
CHEMBL275237,CC(=O)N[C@@H](CS(=O)(=O)c1ccc2ccccc2n1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)Cc1ccccc1C(=O)NC(C)(C)C,,,644.79,1,3.37,0.28,9.552841969,9.55,UO_0000065,14.82,0.28,6.18,6.18,0,Inhibitory activity against HIV-1 protease,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1129303,1,Scientific Literature,J Med Chem,1996,,,,
CHEMBL275301,CC(C)c1ccccc1Sc1c(O)cc(-c2ccc(F)cc2)oc1=O,,,356.42,1,5.43,124,6.906578315,6.91,UO_0000065,19.38,0.38,1.48,13.69,0,Inhibitory activity against purified HIV-1 protease (BH10) at a pH of 4.7 and a final enzyme concentration of 0.45-1.1 nM,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1129760,1,Scientific Literature,Bioorg Med Chem Lett,1996,,,,
CHEMBL275389,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@@H]1CCS(=O)(=O)C1,,,563.76,1,2.67,140,6.853871964,6.85,UO_0000065,12.16,0.24,4.18,5.48,1,Inhibition of HIV-1 Protease,B,BAO_0000357,single protein format,Human immunodeficiency virus 1,,,,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1128144,1,Scientific Literature,Bioorg Med Chem Lett,1995,,,,
CHEMBL275546,Cc1cccc(-c2cc(O)c(Sc3ccccc3C(C)C)c(=O)o2)c1,,,352.46,1,5.6,14,7.853871964,7.85,UO_0000065,22.28,0.43,2.25,15.57,1,Inhibitory concentration against human immunodeficiency virus 1 protease in MT-4 cells,B,BAO_0000219,cell-based format,Human immunodeficiency virus 1,,,MT4,,,,,CHEMBL243,Human immunodeficiency virus type 1 protease,Human immunodeficiency virus 1,SINGLE PROTEIN,CHEMBL1144371,1,Scientific Literature,Bioorg Med Chem Lett,2005,CHEMBL3308375,,,
